OBJECTID,NAME,ISO3,ISO2,FIPS     ,COUNTRY,ENGLISH,FRENCH,SPANISH ,LOCAL,FAO,WAS_ISO,SOVEREIGN,CONTINENT,UNREG1,UNREG2 ,EU,SQKM,CELLCODE,EOFORIGIN,NOFORIGIN,Geometry,
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE474N513,4740000,5130000,"list(list(c(20.671179703717, 20.6618881227844, 20.6371669736414, 20.6229171748396, 20.6175842245012, 20.6034717526836, 20.6020278928755, 20.5838603973534, 20.5569438966424, 20.6376863544485, 20.6939849143098, 20.671179703717, 69.0405425120119, 69.0409698484253, 69.0446929957583, 69.0500259399649, 69.0518035900776, 69.0537185658786, 69.0540313689262, 69.0579757693425, 69.0625000002215, 69.0915575301146, 69.0883705231964, 69.0405425120119)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE474N514,4740000,5140000,"list(list(c(20.6376863544485, 20.7076246866792, 20.6939849143098, 20.6376863544485, 69.0915575301146, 69.1167268801032, 69.0883705231964, 69.0915575301146)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE475N512,4750000,5120000,"list(list(c(20.865656552295, 20.8572769187543, 20.8487777675951, 20.8503341647817, 20.8578338606686, 20.8738252444297, 20.865656552295, 68.9235836206481, 68.9274444580464, 68.9312515236993, 68.9325256377024, 68.9386367773046, 68.9404825938276, 68.9235836206481)), list(c(20.8929320208338, 20.8853870148971, 20.8952786851582, 20.8929320208338, 68.9800097172247, 68.9854375567701, 68.9848643765539, 68.9800097172247)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE475N513,4750000,5130000,"list(list(c(20.8853870148971, 20.8847217576719, 20.8639717113516, 20.8540287028446, 20.8371944394956, 20.8361396760441, 20.8333053568331, 20.8163337725373, 20.7906951940246, 20.7646675082368, 20.731332776102, 20.6920547452668, 20.6854438780284, 20.671179703717, 20.6939849143098, 20.9252058803654, 20.9378191303708, 20.8952786851582, 20.8853870148971, 68.9854375567701, 68.9859161394916, 68.9940795877218, 68.9980010961935, 69.0019760164737, 69.0049438464725, 69.0129165656866, 69.019165041243, 69.0306091308206,  69.0379180918591, 69.0401382419261, 69.0399475070776, 69.0398864771418, 69.0405425120119, 69.0883705231964, 69.0749651420325, 69.072105965193, 68.9848643765539, 68.9854375567701)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE475N514,4750000,5140000,"list(list(c(20.7076246866792, 20.7205009512129, 20.7456397987621, 20.9252058803654, 20.6939849143098, 20.7076246866792, 69.1167268801032, 69.1213607796868, 69.1156692572654, 69.0749651420325, 69.0883705231964, 69.1167268801032)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE476N511,4760000,5110000,"list(list(c(21.0862567588819, 21.0858612095568, 21.0701103205753, 21.063388826713, 21.044055942401, 21.043416974078, 21.0270783412752, 21.0947955799223, 21.0862567588819, 68.8637306949864, 68.8637771630442, 68.8734970074798, 68.8754425056788, 68.8806381205587, 68.8808059685184, 68.8851783054127, 68.881163840273, 68.8637306949864)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE476N512,4760000,5120000,"list(list(c(21.0270783412752, 21.0098895992659, 20.991916654913, 20.9843616479769, 20.9676380181144, 20.9238605513128, 20.911888122201, 20.9040546454765, 20.9038047816583, 20.9037780789168, 20.9008331288394, 20.8967494971307, 20.8801670073735, 20.8761386890556, 20.8683052059058, 20.865656552295, 20.8738252444297, 20.8811664561456, 20.9044437424557, 20.9139995553154, 20.9108333604795, 20.9013614636521, 20.8929320208338, 20.8952786851582, 21.1388918510189, 21.0947955799223, 21.0270783412752, 68.8851783054127,  68.8897781377096, 68.8933029187792, 68.8939437859756, 68.8947525063996, 68.8975830107267, 68.8963623090692, 68.8938598620934, 68.8937759382109, 68.8938369750097, 68.8986663800843, 68.9053573627663, 68.9168853760742, 68.9187469497406, 68.9223632783903, 68.9235836206481, 68.9404825938276, 68.9413299582637, 68.9447250391233, 68.9548645029889, 68.9648895251352, 68.9739456182088, 68.9800097172247, 68.9848643765539, 68.9704146085229, 68.881163840273, 68.8851783054127)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE476N513,4760000,5130000,"list(list(c(20.9378191303708, 21.0603332453235, 21.0679435706811, 21.0821666782811, 21.0844188164958, 21.183372600761, 21.1388918510189, 20.8952786851582, 20.9378191303708, 69.072105965193, 69.0443344138612, 69.0510253887369, 69.0635528559345, 69.0655351198663, 69.059662590165, 68.9704146085229, 68.9848643765539, 69.072105965193)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE476N514,4760000,5140000,"list(list(c(21.0844188164958, 21.1280555712514, 21.1023883797915, 21.068138128345, 21.0401224283775, 21.2282428014947, 21.183372600761, 21.0844188164958, 69.0655351198663, 69.1039428714341, 69.1121978722762, 69.1231918308787, 69.1600779166509, 69.1489076798393, 69.059662590165, 69.0655351198663)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE476N515,4760000,5150000,"list(list(c(21.0401224283775, 21.0217227914723, 21.0237216909547, 21.0246391334331, 21.0407505059014, 21.0845164977297, 21.2735075108336, 21.2282428014947, 21.0401224283775, 69.1600779166509, 69.1843032826367, 69.2055816648925, 69.223167417671, 69.2340240486803, 69.2493777715241, 69.238149769312, 69.1489076798393, 69.1600779166509)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE476N516,4760000,5160000,"list(list(c(21.0845164977297, 21.1064720137928, 21.1477222444251, 21.178667066221, 21.2158889803477, 21.28713798662, 21.3080998034663, 21.2735075108336, 21.0845164977297, 69.2493777715241, 69.2570800740298, 69.2711639442135, 69.2817535387898, 69.2856369054888, 69.3079757710922, 69.3057513007089, 69.238149769312, 69.2493777715241)))",
83,Finland,FIN,FI,FI,Finland,Finland,Finlande,Finlandia,Suomi|Suomen Tasavalta,Finland,NA,Finland,Europe,Northern Europe,Europe,1,335647,10kmE477N510,4770000,5100000,"list(list(c(21.2891429860842, 21.2824726108411, 21.2748813592318, 21.2925588759019, 21.2891429860842, 68.7703860820994, 68.7741088896407, 68.7783434625487, 68.7772718498884, 68.7703860820994)))",
