"","date","value"
"166",2018-06-15,NA
"167",2018-06-16,NA
"168",2018-06-17,NA
"169",2018-06-18,NA
"170",2018-06-19,NA
"171",2018-06-20,42.8266666666667
"172",2018-06-21,35.2304166666667
"173",2018-06-22,25.4333333333333
"174",2018-06-23,25.6754166666667
"175",2018-06-24,17.1995833333333
"176",2018-06-25,20.9878260869565
"177",2018-06-26,28.8354166666667
"178",2018-06-27,26.4020833333333
"179",2018-06-28,30.7370833333333
"180",2018-06-29,13.1779166666667
"181",2018-06-30,0.938947368421053
"182",2018-07-01,15.6572727272727
"183",2018-07-02,23.9179166666667
"184",2018-07-03,25.2340909090909
"185",2018-07-04,38.0033333333333
"186",2018-07-05,25.2683333333333
"187",2018-07-06,31.3829166666667
"188",2018-07-07,37.9733333333333
"189",2018-07-08,69.5754166666667
"190",2018-07-09,40.552380952381
"191",2018-07-10,18.845652173913
"192",2018-07-11,23.2945833333333
"193",2018-07-12,36.57875
"194",2018-07-13,34.2883333333333
"195",2018-07-14,43.15625
"196",2018-07-15,55.3795833333333
"197",2018-07-16,27.7308333333333
"198",2018-07-17,33.46
"199",2018-07-18,40.2120833333333
"200",2018-07-19,18.54125
"201",2018-07-20,20.5420833333333
"202",2018-07-21,19.5570833333333
"203",2018-07-22,24.7683333333333
"204",2018-07-23,38.795
"205",2018-07-24,23.8408333333333
"206",2018-07-25,91.9790476190476
"207",2018-07-26,19.2391666666667
"208",2018-07-27,20.3975
"209",2018-07-28,25.8820833333333
"210",2018-07-29,21.7220833333333
"211",2018-07-30,27.8854166666667
"212",2018-07-31,28.79875
"213",2018-08-01,28.4945833333333
"214",2018-08-02,31.76625
"215",2018-08-03,26.6454166666667
"216",2018-08-04,18.8216666666667
"217",2018-08-05,21.5745833333333
"218",2018-08-06,22.5829166666667
"219",2018-08-07,16.905
"220",2018-08-08,20.7379166666667
"221",2018-08-09,22.2229166666667
"222",2018-08-10,21.3041666666667
"223",2018-08-11,19.2616666666667
"224",2018-08-12,21.4879166666667
"225",2018-08-13,24.9083333333333
"226",2018-08-14,23.9775
"227",2018-08-15,15.9004166666667
"228",2018-08-16,21.7845833333333
"229",2018-08-17,14.68125
"230",2018-08-18,11.5504166666667
"231",2018-08-19,18.125
"232",2018-08-20,20.0358333333333
"233",2018-08-21,34.0891666666667
"234",2018-08-22,38.1875
"235",2018-08-23,33.1266666666667
"236",2018-08-24,25.1345833333333
"237",2018-08-25,36.8545833333333
"238",2018-08-26,24.0720833333333
"239",2018-08-27,29.5375
"240",2018-08-28,32.64875
"241",2018-08-29,31.9995833333333
"242",2018-08-30,30.96125
"243",2018-08-31,37.5791666666667
"244",2018-09-01,37.2795833333333
"245",2018-09-02,28.60875
"246",2018-09-03,23.51625
"247",2018-09-04,28.9508333333333
"248",2018-09-05,26.9241666666667
"249",2018-09-06,33.8261904761905
"250",2018-09-07,40.7666666666667
"251",2018-09-08,29.9525
"252",2018-09-09,34.555
"253",2018-09-10,42.9716666666667
"254",2018-09-11,28.1841666666667
"255",2018-09-12,25.2533333333333
"256",2018-09-13,26.9629166666667
"257",2018-09-14,30.8120833333333
"258",2018-09-15,24.815
"259",2018-09-16,26.03375
"260",2018-09-17,21.4066666666667
"261",2018-09-18,26.9229166666667
"262",2018-09-19,25.8470833333333
"263",2018-09-20,34.3425
"264",2018-09-21,44.87625
"265",2018-09-22,53.9859090909091
"266",2018-09-23,56.3358333333333
"267",2018-09-24,34.3529166666667
"268",2018-09-25,19.94375
"269",2018-09-26,19.4470833333333
"270",2018-09-27,20.1016666666667
"271",2018-09-28,30.5366666666667
"272",2018-09-29,34.0116666666667
"273",2018-09-30,25.6554166666667
"274",2018-10-01,39.3425
"275",2018-10-02,41.2079166666667
"276",2018-10-03,26.6616666666667
"277",2018-10-04,30.61625
"278",2018-10-05,89.2966666666667
"279",2018-10-06,33.7041666666667
"280",2018-10-07,24.62625
"281",2018-10-08,25.84125
"282",2018-10-09,24.6579166666667
"283",2018-10-10,22.1591666666667
"284",2018-10-11,23.0608333333333
"285",2018-10-12,21.6354166666667
"286",2018-10-13,21.62375
"287",2018-10-14,21.7670833333333
"288",2018-10-15,21.8195833333333
"289",2018-10-16,23.2120833333333
"290",2018-10-17,55.8508333333333
"291",2018-10-18,54.3983333333333
"292",2018-10-19,65.4329166666667
"293",2018-10-20,61.1733333333333
"294",2018-10-21,50.9091666666667
"295",2018-10-22,38.1175
"296",2018-10-23,67.2326315789474
"297",2018-10-24,58.9035714285714
"298",2018-10-25,44.8818181818182
"299",2018-10-26,110.909583333333
"300",2018-10-27,147.129583333333
"301",2018-10-28,75.6991666666667
"302",2018-10-29,37.97
"303",2018-10-30,14.6683333333333
"304",2018-10-31,36.7766666666667
"305",2018-11-01,32.98875
"306",2018-11-02,42.1866666666667
"307",2018-11-03,72.835
"308",2018-11-04,110.600416666667
"309",2018-11-05,103.632916666667
"310",2018-11-06,98.5154166666667
"311",2018-11-07,123.539545454545
"312",2018-11-08,133.253529411765
"313",2018-11-09,100.917916666667
"314",2018-11-10,102.393333333333
"315",2018-11-11,72.0861111111111
"316",2018-11-12,35.7516666666667
"317",2018-11-13,36.8616666666667
"318",2018-11-14,22.7581818181818
"319",2018-11-15,25.4416666666667
"320",2018-11-16,53.2125
"321",2018-11-17,64.6666666666667
"322",2018-11-18,33.0516666666667
"323",2018-11-19,38.9870833333333
"324",2018-11-20,25.5340909090909
"325",2018-11-21,22.7753333333333
"326",2018-11-22,32.6153846153846
"327",2018-11-23,66.2157894736842
"328",2018-11-24,77.0045833333333
"329",2018-11-25,53.709
"330",2018-11-26,55.6508333333333
"331",2018-11-27,30.8908333333333
"332",2018-11-28,49.9945454545455
"333",2018-11-29,16.9586666666667
"334",2018-11-30,16.3625
"335",2018-12-01,56.9275
"336",2018-12-02,47.307
"337",2018-12-03,26.4295833333333
"338",2018-12-04,6.04541666666667
"339",2018-12-05,73.3188235294118
"340",2018-12-06,35.0833333333333
"341",2018-12-07,34.2708333333333
"342",2018-12-08,31.6333333333333
"343",2018-12-09,17.4395
"344",2018-12-10,35.6629166666667
"345",2018-12-11,44.13
"346",2018-12-12,27.7270833333333
"347",2018-12-13,37.93875
"348",2018-12-14,42.9208333333333
"349",2018-12-15,39.33625
"350",2018-12-16,34.1570833333333
"351",2018-12-17,43.8570833333333
"352",2018-12-18,63.2429166666667
"353",2018-12-19,46.559
"354",2018-12-20,61.3583333333333
"355",2018-12-21,77.2172727272727
"356",2018-12-22,50.9133333333333
"357",2018-12-23,55.9954166666667
"358",2018-12-24,56.459
"359",2018-12-25,37.8741666666667
"360",2018-12-26,58.9366666666667
"361",2018-12-27,36.9891666666667
"362",2018-12-28,39.62875
"363",2018-12-29,66.5808333333333
"364",2018-12-30,45.1358333333333
"365",2018-12-31,NA
"366",2019-01-01,144.752941176471
"367",2019-01-02,55.2
"368",2019-01-03,77.2295238095238
"369",2019-01-04,74.2758333333333
"370",2019-01-05,72.9383333333333
"371",2019-01-06,68.36375
"372",2019-01-07,55.6158333333333
"373",2019-01-08,64.6308333333333
"374",2019-01-09,78.2233333333333
"375",2019-01-10,66.80875
"376",2019-01-11,69.4216666666667
"377",2019-01-12,56.24375
"378",2019-01-13,68.5
"379",2019-01-14,89.1804166666667
"380",2019-01-15,74.1820833333333
"381",2019-01-16,68.43375
"382",2019-01-17,75.7320833333333
"383",2019-01-18,73.2929166666667
"384",2019-01-19,57.9045833333333
"385",2019-01-20,53.9708333333333
"386",2019-01-21,64.7790909090909
"387",2019-01-22,77.525
"388",2019-01-23,20.8478260869565
"389",2019-01-24,34.0091666666667
"390",2019-01-25,24.136875
"391",2019-01-26,13.09
"392",2019-01-27,10.56
"393",2019-01-28,11.9121052631579
"394",2019-01-29,27.9225
"395",2019-01-30,38.9131818181818
"396",2019-01-31,33.155
"397",2019-02-01,33.0413636363636
"398",2019-02-02,30.6375
"399",2019-02-03,25.93125
"400",2019-02-04,23.4847368421053
"401",2019-02-05,36.0795833333333
"402",2019-02-06,36.5838095238095
"403",2019-02-07,41.5770833333333
"404",2019-02-08,45.9858333333333
"405",2019-02-09,27.0375
"406",2019-02-10,17.8845833333333
"407",2019-02-11,39.5441666666667
"408",2019-02-12,40.4579166666667
"409",2019-02-13,193.101666666667
"410",2019-02-14,193.183333333333
"411",2019-02-15,52.1841666666667
"412",2019-02-16,39.6059090909091
"413",2019-02-17,67.9773913043478
"414",2019-02-18,20.4125
"415",2019-02-19,1.27208333333333
"416",2019-02-20,9.25590909090909
"417",2019-02-21,19.2795833333333
"418",2019-02-22,20.9583333333333
"419",2019-02-23,23.6109523809524
"420",2019-02-24,29.1475
"421",2019-02-25,132.0575
"422",2019-02-26,116.765555555556
"423",2019-02-27,51.41625
"424",2019-02-28,198.754583333333
"425",2019-03-01,457.627272727273
"426",2019-03-02,213.070714285714
"427",2019-03-03,49.9329166666667
"428",2019-03-04,55.0679166666667
"429",2019-03-05,52.8261904761905
"430",2019-03-06,42.6377777777778
"431",2019-03-07,16.8816666666667
"432",2019-03-08,18.7704166666667
"433",2019-03-09,15.73875
"434",2019-03-10,15.05125
"435",2019-03-11,14.4883333333333
"436",2019-03-12,26.4841666666667
"437",2019-03-13,34.8925
"438",2019-03-14,39.4654166666667
"439",2019-03-15,45.0429166666667
"440",2019-03-16,48.44
"441",2019-03-17,48.8283333333333
"442",2019-03-18,37.5229166666667
"443",2019-03-19,30.8758333333333
"444",2019-03-20,40.0838095238095
"445",2019-03-21,26.6825
"446",2019-03-22,14.8325
"447",2019-03-23,13.7545833333333
"448",2019-03-24,12.7704166666667
"449",2019-03-25,15.0716666666667
"450",2019-03-26,17.1933333333333
"451",2019-03-27,18.7170833333333
"452",2019-03-28,21.5033333333333
"453",2019-03-29,18.23
"454",2019-03-30,16.3580952380952
"455",2019-03-31,72.5975
"456",2019-04-01,19.1723529411765
"457",2019-04-02,14.6808333333333
"458",2019-04-03,13.1183333333333
"459",2019-04-04,12.7033333333333
"460",2019-04-05,13.8533333333333
"461",2019-04-06,13.1268181818182
"462",2019-04-07,9.21208333333333
"463",2019-04-08,70.2879166666667
"464",2019-04-09,13.8021428571429
"465",2019-04-10,102.258
"466",2019-04-11,29.2053846153846
"467",2019-04-12,21.6733333333333
"468",2019-04-13,19.6329166666667
"469",2019-04-14,19.2621739130435
"470",2019-04-15,17.5395833333333
"471",2019-04-16,11.2435294117647
"472",2019-04-17,7.89291666666667
"473",2019-04-18,6.87833333333333
"474",2019-04-19,4.72041666666667
"475",2019-04-20,4.82083333333333
"476",2019-04-21,20.93375
"477",2019-04-22,30.6052173913043
"478",2019-04-23,45.6020833333333
"479",2019-04-24,45.70125
"480",2019-04-25,45.4108333333333
"481",2019-04-26,46.1422727272727
"482",2019-04-27,45.8918181818182
"483",2019-04-28,45.8454166666667
"484",2019-04-29,46.16125
"485",2019-04-30,45.2845833333333
"486",2019-05-01,46.3395833333333
"487",2019-05-02,46.1291666666667
"488",2019-05-03,45.4545833333333
"489",2019-05-04,46.4947826086957
"490",2019-05-05,46.1288235294118
"491",2019-05-06,46.02375
"492",2019-05-07,46.2468421052632
"493",2019-05-08,54.2972727272727
"494",2019-05-09,NA
"495",2019-05-10,NA
"496",2019-05-11,NA
"497",2019-05-12,NA
"498",2019-05-13,NA
"499",2019-05-14,42.6828571428571
"500",2019-05-15,25.1854166666667
"501",2019-05-16,21.8570833333333
"502",2019-05-17,22.7675
"503",2019-05-18,28.8879166666667
"504",2019-05-19,23.4404166666667
"505",2019-05-20,14.7579166666667
"506",2019-05-21,14.95125
"507",2019-05-22,15.3483333333333
"508",2019-05-23,18.0758333333333
"509",2019-05-24,21.7929166666667
"510",2019-05-25,22.3268181818182
"511",2019-05-26,23.9629166666667
"512",2019-05-27,21.8229166666667
"513",2019-05-28,94.3645833333333
"514",2019-05-29,27.49
"515",2019-05-30,32.7808333333333
"516",2019-05-31,25.4958333333333
"517",2019-06-01,20.2695833333333
"518",2019-06-02,19.0366666666667
"519",2019-06-03,60.7533333333333
"520",2019-06-04,66.1279166666667
"521",2019-06-05,40.8641666666667
